Sample,Timestamp_us,Intensity
7573,1893500,492
7574,1893750,482
7575,1894000,480
7576,1894250,481
7577,1894500,483
7578,1894750,479
7579,1895000,478
7580,1895250,481
7581,1895500,485
7582,1895750,481
7583,1896000,488
7584,1896250,478
7585,1896500,488
7586,1896750,484
7587,1897000,482
7588,1897250,480
7589,1897500,482
7590,1897750,479
7591,1898000,479
7592,1898250,483
7593,1898500,483
7594,1898750,483
7595,1899000,486
7596,1899250,486
7597,1899500,484
7598,1899750,482
7599,1900000,487
7600,1900250,484
7601,1900500,486
7602,1900750,480
7603,1901000,487
7604,1901250,490
7605,1901500,483
7606,1901750,492
7607,1902000,492
7608,1902250,492
7609,1902500,484
7610,1902750,488
7611,1903000,494
7612,1903250,482
7613,1903500,492
7614,1903750,497
7615,1904000,492
7616,1904250,487
7617,1904500,482
7618,1904750,484
7619,1905000,487
7620,1905250,492
7621,1905500,490
7622,1905750,486
7623,1906000,490
7624,1906250,487
7625,1906500,488
7626,1906750,485
7627,1907000,487
7628,1907250,491
7629,1907500,485
7630,1907750,490
7631,1908000,495
7632,1908250,494
7633,1908500,486
7634,1908750,493
7635,1909000,491
7636,1909250,488
7637,1909500,493
7638,1909750,482
7639,1910000,491
7640,1910250,487
7641,1910500,494
7642,1910750,481
7643,1911000,482
7644,1911250,491
7645,1911500,483
7646,1911750,494
7647,1912000,494
7648,1912250,492
7649,1912500,495
7650,1912750,492
7651,1913000,488
7652,1913250,485
7653,1913500,486
7654,1913750,484
7655,1914000,486
7656,1914250,485
7657,1914500,491
7658,1914750,488
7659,1915000,487
7660,1915250,488
7661,1915500,496
7662,1915750,483
7663,1916000,486
7664,1916250,488
7665,1916500,490
7666,1916750,495
7667,1917000,480
7668,1917250,486
7669,1917500,479
7670,1917750,486
7671,1918000,503
7672,1918250,497
7673,1918500,499
7674,1918750,506
7675,1919000,497
7676,1919250,625
7677,1919500,414
7678,1919750,532
7679,1920000,462
7680,1920250,446
7681,1920500,434
7682,1920750,465
7683,1921000,471
7684,1921250,470
7685,1921500,466
7686,1921750,467
7687,1922000,468
7688,1922250,474
7689,1922500,470
7690,1922750,470
7691,1923000,474
7692,1923250,476
7693,1923500,471
7694,1923750,466
7695,1924000,476
7696,1924250,468
7697,1924500,477
7698,1924750,474
7699,1925000,476
7700,1925250,470
7701,1925500,476
7702,1925750,478
7703,1926000,480
7704,1926250,473
7705,1926500,475
7706,1926750,477
7707,1927000,476
7708,1927250,481
7709,1927500,480
7710,1927750,476
7711,1928000,478
7712,1928250,480
7713,1928500,472
7714,1928750,475
7715,1929000,472
7716,1929250,468
7717,1929500,476
7718,1929750,478
7719,1930000,479
7720,1930250,476
7721,1930500,478
7722,1930750,492
7723,1931000,494
7724,1931250,493
7725,1931500,492
7726,1931750,494
7727,1932000,496
7728,1932250,488
7729,1932500,493
7730,1932750,494
7731,1933000,480
7732,1933250,491
7733,1933500,479
7734,1933750,490
7735,1934000,483
7736,1934250,483
7737,1934500,484
7738,1934750,477
7739,1935000,488
7740,1935250,488
7741,1935500,482
7742,1935750,488
7743,1936000,486
7744,1936250,482
7745,1936500,483
7746,1936750,488
7747,1937000,488
7748,1937250,488
7749,1937500,486
7750,1937750,489
7751,1938000,488
7752,1938250,487
7753,1938500,482
7754,1938750,484
7755,1939000,486
7756,1939250,482
7757,1939500,486
7758,1939750,486
7759,1940000,486
7760,1940250,490
7761,1940500,487
7762,1940750,488
7763,1941000,492
7764,1941250,487
7765,1941500,483
7766,1941750,486
7767,1942000,484
7768,1942250,488
7769,1942500,483
7770,1942750,493
7771,1943000,486
7772,1943250,484
7773,1943500,482
7774,1943750,484
7775,1944000,481
7776,1944250,479
7777,1944500,482
7778,1944750,484
7779,1945000,484
7780,1945250,482
7781,1945500,481
7782,1945750,481
7783,1946000,483
7784,1946250,484
7785,1946500,482
7786,1946750,488
7787,1947000,492
7788,1947250,480
7789,1947500,484
7790,1947750,480
7791,1948000,488
7792,1948250,486
7793,1948500,483
7794,1948750,485
7795,1949000,494
7796,1949250,483
7797,1949500,488
7798,1949750,482
7799,1950000,487
7800,1950250,484
7801,1950500,488
7802,1950750,480
7803,1951000,483
7804,1951250,485
7805,1951500,479
7806,1951750,480
7807,1952000,481
7808,1952250,481
7809,1952500,481
7810,1952750,488
7811,1953000,488
7812,1953250,484
7813,1953500,492
7814,1953750,482
7815,1954000,490
7816,1954250,484
7817,1954500,487
7818,1954750,491
7819,1955000,482
7820,1955250,487
7821,1955500,486
7822,1955750,492
7823,1956000,488
7824,1956250,487
7825,1956500,484
7826,1956750,485
7827,1957000,486
7828,1957250,493
7829,1957500,488
7830,1957750,486
7831,1958000,484
7832,1958250,480
7833,1958500,482
7834,1958750,484
7835,1959000,490
7836,1959250,494
7837,1959500,496
7838,1959750,492
7839,1960000,483
7840,1960250,492
7841,1960500,491
7842,1960750,491
7843,1961000,480
7844,1961250,482
7845,1961500,484
7846,1961750,494
7847,1962000,500
7848,1962250,495
7849,1962500,484
7850,1962750,488
7851,1963000,490
7852,1963250,482
7853,1963500,487
7854,1963750,481
7855,1964000,496
7856,1964250,488
7857,1964500,484
7858,1964750,483
7859,1965000,493
7860,1965250,484
7861,1965500,478
7862,1965750,487
7863,1966000,484
7864,1966250,486
7865,1966500,485
7866,1966750,495
7867,1967000,492
7868,1967250,483
7869,1967500,490
7870,1967750,488
7871,1968000,495
7872,1968250,494
7873,1968500,488
7874,1968750,497
7875,1969000,494
7876,1969250,498
7877,1969500,497
7878,1969750,498
7879,1970000,495
7880,1970250,488
7881,1970500,492
7882,1970750,495
7883,1971000,496
7884,1971250,496
7885,1971500,497
7886,1971750,498
7887,1972000,497
7888,1972250,497
7889,1972500,498
7890,1972750,497
7891,1973000,493
7892,1973250,500
7893,1973500,497
7894,1973750,500
7895,1974000,498
7896,1974250,500
7897,1974500,497
7898,1974750,499
7899,1975000,495
7900,1975250,494
7901,1975500,493
7902,1975750,495
7903,1976000,497
7904,1976250,499
7905,1976500,497
7906,1976750,497
7907,1977000,497
7908,1977250,496
7909,1977500,497
7910,1977750,493
7911,1978000,497
7912,1978250,498
7913,1978500,497
7914,1978750,497
7915,1979000,497
7916,1979250,492
7917,1979500,496
7918,1979750,495
7919,1980000,495
7920,1980250,490
7921,1980500,488
7922,1980750,488
7923,1981000,490
7924,1981250,492
7925,1981500,481
7926,1981750,497
7927,1982000,483
7928,1982250,494
7929,1982500,487
7930,1982750,493
7931,1983000,494
7932,1983250,490
7933,1983500,492
7934,1983750,495
7935,1984000,503
7936,1984250,491
7937,1984500,497
7938,1984750,485
7939,1985000,488
7940,1985250,492
7941,1985500,486
7942,1985750,492
7943,1986000,490
7944,1986250,487
7945,1986500,479
7946,1986750,491
7947,1987000,484
7948,1987250,487
7949,1987500,481
7950,1987750,494
7951,1988000,496
7952,1988250,488
7953,1988500,488
7954,1988750,488
7955,1989000,487
7956,1989250,481
7957,1989500,487
7958,1989750,483
7959,1990000,488
7960,1990250,480
7961,1990500,487
